Emotion,Token,Frequency
neutral,wilden,13
neutral,schwäne,43
neutral,elisa,72
neutral,sechs,13
neutral,brüdern,11
neutral,versteckten,2
neutral,versprechens,1
neutral,zweiter,1
neutral,hielt,39
neutral,sicherer,1
neutral,verbergen,1
neutral,hexentochter,3
neutral,übrig,4
neutral,brüder,56
neutral,däumelinchen,49
neutral,handlung,1
neutral,weitestgehend,1
neutral,treu,2
neutral,andersens,3
neutral,herzenswunsch,1
neutral,kind,29
neutral,kröte,13
neutral,walnussschalenbett,1
neutral,entführt,6
neutral,ideale,1
neutral,ehepartie,1
neutral,kröterich-sohn,2
neutral,freunde,12
neutral,fallen,8
neutral,maikäfer,10
neutral,lustig,2
neutral,winter,43
neutral,unterschlupf,3
neutral,feldmaus,18
neutral,gegenleistung,2
neutral,helfen,16
neutral,gastgeberin,1
neutral,geschichten,8
neutral,besuch,12
neutral,älterer,1
neutral,blinder,2
neutral,wohlbetuchter,1
neutral,maulwurf,20
neutral,däumelinchens,2
neutral,angeholten,1
neutral,freundin,11
neutral,schwalbe,24
neutral,wärmeres,1
neutral,blüte,4
neutral,traumprinzen,1
neutral,elf,29
neutral,einzigen,6
neutral,verschollen,3
neutral,15-jähriges,1
neutral,verlassen,17
neutral,leute,30
neutral,schwänen,8
neutral,spur,1
neutral,elisas,3
neutral,nehmen,18
neutral,erneut,12
neutral,böse,15
neutral,stiefmutter,5
neutral,hemden,17
neutral,brennnesseln,12
neutral,flechten,4
neutral,überwerfen,2
neutral,zauber,17
neutral,gebrochen,5
neutral,wiederum,3
neutral,waldhütte,1
neutral,friedhof,5
neutral,ernten,1
neutral,hütte,7
neutral,stumme,3
neutral,kammer,13
neutral,einrichten,1
neutral,bisher,5
neutral,geflochtenen,1
neutral,vorrat,2
neutral,verwahren,2
neutral,schlafzimmer,3
neutral,brennnesselvorrat,1
neutral,aufgebraucht,3
neutral,pflanzen,6
neutral,pflücken,5
neutral,erzbischof,13
neutral,erneuten,1
neutral,friedhofsbesuch,1
neutral,zeuge,3
neutral,zusammentreffens,1
neutral,hexen,3
neutral,bevölkerung,1
neutral,urteil,2
neutral,garstiger,1
neutral,frauen,4
neutral,führt,7
neutral,tod,15
neutral,scheiterhaufen,8
neutral,droht,5
neutral,gefahren,1
neutral,fertigen,4
neutral,wagen,17
neutral,gelegt,6
neutral,fahrt,4
neutral,hastig,2
neutral,letzten,22
neutral,hemd,6
neutral,richtplatz,1
neutral,angekommen,9
neutral,zehn,12
neutral,überstreifen,2
neutral,elfte,1
neutral,bruder,15
neutral,schwan,11
neutral,fordert,6
neutral,trauern,3
neutral,legt,4
neutral,hut,5
neutral,verneigen,1
neutral,gehalten,3
neutral,sinnt,1
neutral,ausdenken,1
neutral,verzaubert,2
neutral,galoschen,57
neutral,demjenigen,6
neutral,sorge,14
neutral,bedenken,2
neutral,meinung,7
neutral,erfahrung,1
neutral,mensch,28
neutral,ewigen,5
neutral,glücklichsein,1
neutral,taugen,2
neutral,neuen,27
neutral,verlangen,4
neutral,lernfee,6
neutral,studenten,5
neutral,zurecht,3
neutral,herr,12
neutral,schulrat,3
neutral,zigarre,2
neutral,anzünden,2
neutral,niederen,1
neutral,kreisen,2
neutral,üblich,1
neutral,satan,1
neutral,angesehen,3
neutral,gesteckt,2
neutral,verzauberte,1
neutral,idee,4
neutral,versieht,3
